run_name,learning_rate,epoch,train_loss,validation_accuracy,validation_macro_f1
bert_lr_1eminus05,1e-05,1,1.0826326430775226,0.45093457943925236,0.4413825825281323
bert_lr_1eminus05,1e-05,2,1.0197753025218845,0.4672897196261682,0.4670921657711409
bert_lr_1eminus05,1e-05,3,0.940685895550996,0.4735202492211838,0.4735254026367932
bert_lr_1eminus05,1e-05,4,0.8714499987661839,0.4945482866043614,0.4929583027952076
bert_lr_2eminus05,2e-05,1,1.082098903413862,0.42679127725856697,0.41027977138331595
bert_lr_2eminus05,2e-05,2,0.9948447758331895,0.4883177570093458,0.4854613265350171
bert_lr_2eminus05,2e-05,3,0.8006893381010741,0.48520249221183803,0.48508698505065434
bert_lr_2eminus05,2e-05,4,0.6105302786221728,0.48130841121495327,0.47860799311673136
bert_lr_3eminus05,3e-05,1,1.0791800967417657,0.42445482866043616,0.4046369744345873
bert_lr_3eminus05,3e-05,2,0.9897798163816333,0.4750778816199377,0.46986284013687074
bert_lr_3eminus05,3e-05,3,0.741966828983277,0.48364485981308414,0.4840498190356706
bert_lr_3eminus05,3e-05,4,0.475889245478902,0.4945482866043614,0.49047039285478405
